setlist_id,venue_id,era_name,song_name,song_info,song_order
33a50069,53d63be5,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Lover, Bejeweled elements taped",1
33a50069,53d63be5,Lover,Miss Americana & the Heartbreak Prince,shortened,2
33a50069,53d63be5,Lover,Cruel Summer,,3
33a50069,53d63be5,Lover,The Man,,4
33a50069,53d63be5,Lover,You Need to Calm Down,shortened,5
33a50069,53d63be5,Lover,Lover,spoken intro,6
33a50069,53d63be5,Lover,The Archer,extended outro,7
33a50069,53d63be5,Fearless,Fearless,shortened,8
33a50069,53d63be5,Fearless,You Belong With Me,,9
33a50069,53d63be5,Fearless,Love Story,,10
33a50069,53d63be5,evermore,'tis the damn season,shortened,11
33a50069,53d63be5,evermore,willow,,12
33a50069,53d63be5,evermore,marjorie,shortened,13
33a50069,53d63be5,evermore,champagne problems,spoken intro,14
33a50069,53d63be5,evermore,tolerate it,extended intro; with keys; shortened,15
33a50069,53d63be5,reputation,...Ready for It?,,16
33a50069,53d63be5,reputation,Delicate,,17
33a50069,53d63be5,reputation,Don't Blame Me,shortened,18
33a50069,53d63be5,reputation,Look What You Made Me Do,,19
33a50069,53d63be5,Speak Now,Enchanted,extended intro; shortened,20
33a50069,53d63be5,Speak Now,Long Live,,21
33a50069,53d63be5,Red,Red - Intro,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
33a50069,53d63be5,Red,22,,23
33a50069,53d63be5,Red,We Are Never Ever Getting Back Together,,24
33a50069,53d63be5,Red,I Knew You Were Trouble,shortened,25
33a50069,53d63be5,Red,All Too Well,10 minute version; spoken intro,26
33a50069,53d63be5,folklore,seven,"spoken word poem; contains elements of ""Wildest Dreams” taped",27
33a50069,53d63be5,folklore,the 1,,28
33a50069,53d63be5,folklore,betty,spoken intro,29
33a50069,53d63be5,folklore,the last great american dynasty,,30
33a50069,53d63be5,folklore,august,,31
33a50069,53d63be5,folklore,illicit affairs,shortened,32
33a50069,53d63be5,folklore,my tears ricochet,,33
33a50069,53d63be5,folklore,cardigan,,34
33a50069,53d63be5,1989,Style,shortened,35
33a50069,53d63be5,1989,Blank Space,,36
33a50069,53d63be5,1989,Shake It Off,,37
33a50069,53d63be5,1989,Wildest Dreams,shortened,38
33a50069,53d63be5,1989,Bad Blood,shortened,39
33a50069,53d63be5,Surprise Songs,Afterglow,"live debut, on guitar",40
33a50069,53d63be5,Surprise Songs,Maroon,double repeat; on piano,41
33a50069,53d63be5,Midnights,Lavender Haze,,42
33a50069,53d63be5,Midnights,Anti‐Hero,,43
33a50069,53d63be5,Midnights,Midnight Rain,,44
33a50069,53d63be5,Midnights,Vigilante Shit,,45
33a50069,53d63be5,Midnights,Bejeweled,,46
33a50069,53d63be5,Midnights,Mastermind,,47
33a50069,53d63be5,Midnights,Karma,extended outro,48
63a512cb,53d63be5,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Bejeweled elements taped",1
63a512cb,53d63be5,Lover,Miss Americana & the Heartbreak Prince,shortened,2
63a512cb,53d63be5,Lover,Cruel Summer,,3
63a512cb,53d63be5,Lover,The Man,,4
63a512cb,53d63be5,Lover,You Need to Calm Down,shortened,5
63a512cb,53d63be5,Lover,Lover,spoken intro,6
63a512cb,53d63be5,Lover,The Archer,extended outro,7
63a512cb,53d63be5,Fearless,Fearless,shortened,8
63a512cb,53d63be5,Fearless,You Belong With Me,,9
63a512cb,53d63be5,Fearless,Love Story,,10
63a512cb,53d63be5,evermore,'tis the damn season,shortened,11
63a512cb,53d63be5,evermore,willow,,12
63a512cb,53d63be5,evermore,marjorie,shortened,13
63a512cb,53d63be5,evermore,champagne problems,spoken intro,14
63a512cb,53d63be5,evermore,tolerate it,extended intro; with keys; shortened,15
63a512cb,53d63be5,reputation,...Ready for It?,,16
63a512cb,53d63be5,reputation,Delicate,,17
63a512cb,53d63be5,reputation,Don't Blame Me,shortened,18
63a512cb,53d63be5,reputation,Look What You Made Me Do,,19
63a512cb,53d63be5,Speak Now,Enchanted,extended intro; shortened,20
63a512cb,53d63be5,Speak Now,Long Live,,21
63a512cb,53d63be5,Red,Red - Intro,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
63a512cb,53d63be5,Red,22,,23
63a512cb,53d63be5,Red,We Are Never Ever Getting Back Together,,24
63a512cb,53d63be5,Red,I Knew You Were Trouble,shortened,25
63a512cb,53d63be5,Red,All Too Well,10 minute version; spoken intro,26
63a512cb,53d63be5,folklore,seven,spoken word poem; contains elements of “Wildest Dreams” taped,27
63a512cb,53d63be5,folklore,the 1,,28
63a512cb,53d63be5,folklore,betty,spoken intro,29
63a512cb,53d63be5,folklore,the last great american dynasty,,30
63a512cb,53d63be5,folklore,august,,31
63a512cb,53d63be5,folklore,illicit affairs,shortened,32
63a512cb,53d63be5,folklore,my tears ricochet,,33
63a512cb,53d63be5,folklore,cardigan,,34
63a512cb,53d63be5,1989,Style,shortened,35
63a512cb,53d63be5,1989,Blank Space,,36
63a512cb,53d63be5,1989,Shake It Off,,37
63a512cb,53d63be5,1989,Wildest Dreams,shortened,38
63a512cb,53d63be5,1989,Bad Blood,shortened,39
63a512cb,53d63be5,Surprise Songs,Cornelia Street,tour debut; on guitar,40
63a512cb,53d63be5,Surprise Songs,"You're on Your Own, Kid",on piano; double repeat,41
63a512cb,53d63be5,Midnights,Lavender Haze,,42
63a512cb,53d63be5,Midnights,Anti‐Hero,,43
63a512cb,53d63be5,Midnights,Midnight Rain,,44
63a512cb,53d63be5,Midnights,Vigilante Shit,,45
63a512cb,53d63be5,Midnights,Bejeweled,,46
63a512cb,53d63be5,Midnights,Mastermind,,47
63a512cb,53d63be5,Midnights,Karma,extended outro,48
13a51971,53d63be5,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Lover, Bejeweled elements taped",1
13a51971,53d63be5,Lover,Miss Americana & the Heartbreak Prince,shortened,2
13a51971,53d63be5,Lover,Cruel Summer,,3
13a51971,53d63be5,Lover,The Man,,4
13a51971,53d63be5,Lover,You Need to Calm Down,shortened,5
13a51971,53d63be5,Lover,Lover,spoken intro,6
13a51971,53d63be5,Lover,The Archer,extended outro,7
13a51971,53d63be5,Fearless,Fearless,shortened,8
13a51971,53d63be5,Fearless,You Belong With Me,,9
13a51971,53d63be5,Fearless,Love Story,,10
13a51971,53d63be5,evermore,'tis the damn season,shortened,11
13a51971,53d63be5,evermore,willow,,12
13a51971,53d63be5,evermore,marjorie,shortened,13
13a51971,53d63be5,evermore,champagne problems,spoken intro,14
13a51971,53d63be5,evermore,tolerate it,extended intro; with keys; shortened,15
13a51971,53d63be5,reputation,...Ready for It?,,16
13a51971,53d63be5,reputation,Delicate,,17
13a51971,53d63be5,reputation,Don't Blame Me,shortened,18
13a51971,53d63be5,reputation,Look What You Made Me Do,,19
13a51971,53d63be5,Speak Now,Enchanted,extended intro; shortened,20
13a51971,53d63be5,Speak Now,Long Live,,21
13a51971,53d63be5,Red,Red - Intro,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
13a51971,53d63be5,Red,22,,23
13a51971,53d63be5,Red,We Are Never Ever Getting Back Together,,24
13a51971,53d63be5,Red,I Knew You Were Trouble,shortened,25
13a51971,53d63be5,Red,All Too Well,10 minute version; spoken intro,26
13a51971,53d63be5,folklore,seven,spoken word poem; contains elements of “Wildest Dreams” taped,27
13a51971,53d63be5,folklore,the 1,,28
13a51971,53d63be5,folklore,betty,spoken intro,29
13a51971,53d63be5,folklore,the last great american dynasty,,30
13a51971,53d63be5,folklore,august,,31
13a51971,53d63be5,folklore,illicit affairs,shortened,32
13a51971,53d63be5,folklore,my tears ricochet,,33
13a51971,53d63be5,folklore,cardigan,,34
13a51971,53d63be5,1989,Style,shortened,35
13a51971,53d63be5,1989,Blank Space,,36
13a51971,53d63be5,1989,Shake It Off,,37
13a51971,53d63be5,1989,Wildest Dreams,shortened,38
13a51971,53d63be5,1989,Bad Blood,shortened,39
13a51971,53d63be5,Surprise Songs,Tell Me Why,tour debut; on guitar,40
13a51971,53d63be5,Surprise Songs,Snow on the Beach,on piano; repeated surprise song,41
13a51971,53d63be5,Midnights,Lavender Haze,,42
13a51971,53d63be5,Midnights,Anti‐Hero,,43
13a51971,53d63be5,Midnights,Midnight Rain,,44
13a51971,53d63be5,Midnights,Vigilante Shit,,45
13a51971,53d63be5,Midnights,Bejeweled,,46
13a51971,53d63be5,Midnights,Mastermind,,47
13a51971,53d63be5,Midnights,Karma,extended outro,48
33a524c5,53d63be5,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Lover, Bejeweled elements taped",1
33a524c5,53d63be5,Lover,Miss Americana & the Heartbreak Prince,shortened,2
33a524c5,53d63be5,Lover,Cruel Summer,,3
33a524c5,53d63be5,Lover,The Man,,4
33a524c5,53d63be5,Lover,You Need to Calm Down,shortened,5
33a524c5,53d63be5,Lover,Lover,spoken intro; Taylor thanked opener Sabrina Carpenter and said “Ciudad de México” in Spanish.,6
33a524c5,53d63be5,Lover,The Archer,extended outro,7
33a524c5,53d63be5,Fearless,Fearless,shortened,8
33a524c5,53d63be5,Fearless,You Belong With Me,,9
33a524c5,53d63be5,Fearless,Love Story,,10
33a524c5,53d63be5,evermore,'tis the damn season,shortened,11
33a524c5,53d63be5,evermore,willow,,12
33a524c5,53d63be5,evermore,marjorie,shortened,13
33a524c5,53d63be5,evermore,champagne problems,spoken intro; followed by a 2:52 minute ovation interrupted by Taylor herself,14
33a524c5,53d63be5,evermore,tolerate it,Extended intro; with keys,15
33a524c5,53d63be5,reputation,...Ready for It?,,16
33a524c5,53d63be5,reputation,Delicate,,17
33a524c5,53d63be5,reputation,Don't Blame Me,shortened,18
33a524c5,53d63be5,reputation,Look What You Made Me Do,,19
33a524c5,53d63be5,Speak Now,Enchanted,Extended intro; shortened,20
33a524c5,53d63be5,Speak Now,Long Live,,21
33a524c5,53d63be5,Red,Red - Intro,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red taped",22
33a524c5,53d63be5,Red,22,,23
33a524c5,53d63be5,Red,We Are Never Ever Getting Back Together,,24
33a524c5,53d63be5,Red,I Knew You Were Trouble,shortened,25
33a524c5,53d63be5,Red,All Too Well,10 minute version; spoken intro,26
33a524c5,53d63be5,folklore,seven,spoken word poem; contains elements of “Wildest Dreams” taped,27
33a524c5,53d63be5,folklore,the 1,,28
33a524c5,53d63be5,folklore,betty,spoken intro,29
33a524c5,53d63be5,folklore,the last great american dynasty,,30
33a524c5,53d63be5,folklore,august,,31
33a524c5,53d63be5,folklore,illicit affairs,shortened,32
33a524c5,53d63be5,folklore,my tears ricochet,,33
33a524c5,53d63be5,folklore,cardigan,,34
33a524c5,53d63be5,1989,Style,shortened,35
33a524c5,53d63be5,1989,Blank Space,,36
33a524c5,53d63be5,1989,Shake It Off,,37
33a524c5,53d63be5,1989,Wildest Dreams,shortened,38
33a524c5,53d63be5,1989,Bad Blood,shortened,39
33a524c5,53d63be5,Surprise Songs,I Forgot That You Existed,live debut; on guitar,40
33a524c5,53d63be5,Surprise Songs,Sweet Nothing,live debut; on piano,41
33a524c5,53d63be5,Midnights,Lavender Haze,,42
33a524c5,53d63be5,Midnights,Anti‐Hero,,43
33a524c5,53d63be5,Midnights,Midnight Rain,,44
33a524c5,53d63be5,Midnights,Vigilante Shit,,45
33a524c5,53d63be5,Midnights,Bejeweled,,46
33a524c5,53d63be5,Midnights,Mastermind,,47
33a524c5,53d63be5,Midnights,Karma,extended outro,48
13a46989,13d0b545,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Bejeweled elements taped",1
13a46989,13d0b545,Lover,Miss Americana & the Heartbreak Prince,shortened,2
13a46989,13d0b545,Lover,Cruel Summer,,3
13a46989,13d0b545,Lover,The Man,,4
13a46989,13d0b545,Lover,You Need to Calm Down,shortened,5
13a46989,13d0b545,Lover,Lover,spoken intro,6
13a46989,13d0b545,Lover,The Archer,extended outro,7
13a46989,13d0b545,Fearless,Fearless,shortened,8
13a46989,13d0b545,Fearless,You Belong With Me,,9
13a46989,13d0b545,Fearless,Love Story,,10
13a46989,13d0b545,evermore,"no body, no crime",,11
13a46989,13d0b545,evermore,willow,,12
13a46989,13d0b545,evermore,marjorie,shortened,13
13a46989,13d0b545,evermore,champagne problems,spoken intro,14
13a46989,13d0b545,evermore,tolerate it,,15
13a46989,13d0b545,reputation,...Ready for It?,,16
13a46989,13d0b545,reputation,Delicate,,17
13a46989,13d0b545,reputation,Don't Blame Me,shortened,18
13a46989,13d0b545,reputation,Look What You Made Me Do,,19
13a46989,13d0b545,Speak Now,Enchanted,,20
13a46989,13d0b545,Speak Now,Long Live,,21
13a46989,13d0b545,Red,Red - Intro,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
13a46989,13d0b545,Red,22,,23
13a46989,13d0b545,Red,We Are Never Ever Getting Back Together,,24
13a46989,13d0b545,Red,I Knew You Were Trouble,shortened,25
13a46989,13d0b545,Red,All Too Well,10 minute version with spoken intro,26
13a46989,13d0b545,folklore,seven,spoken word poem; contains elements of “Wildest Dreams” taped,27
13a46989,13d0b545,folklore,the 1,,28
13a46989,13d0b545,folklore,betty,spoken intro,29
13a46989,13d0b545,folklore,the last great american dynasty,,30
13a46989,13d0b545,folklore,august,,31
13a46989,13d0b545,folklore,illicit affairs,shortened,32
13a46989,13d0b545,folklore,my tears ricochet,,33
13a46989,13d0b545,folklore,cardigan,,34
13a46989,13d0b545,1989,Style,shortened,35
13a46989,13d0b545,1989,Blank Space,,36
13a46989,13d0b545,1989,Shake It Off,,37
13a46989,13d0b545,1989,Wildest Dreams,shortened,38
13a46989,13d0b545,1989,Bad Blood,shortened,39
13a46989,13d0b545,Surprise songs,New Romantics,first time live since 2017; on guitar,40
13a46989,13d0b545,Surprise songs,New Year's Day,tour debut; on piano,41
13a46989,13d0b545,Midnights,Lavender Haze,,42
13a46989,13d0b545,Midnights,Anti‐Hero,,43
13a46989,13d0b545,Midnights,Midnight Rain,,44
13a46989,13d0b545,Midnights,Vigilante Shit,,45
13a46989,13d0b545,Midnights,Bejeweled,,46
13a46989,13d0b545,Midnights,Mastermind,,47
13a46989,13d0b545,Midnights,Karma,,48
23a4740f,13d0b545,,Intro,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Bejeweled elements taped",1
23a4740f,13d0b545,Lover,Miss Americana & the Heartbreak Prince,shortened,2
23a4740f,13d0b545,Lover,Cruel Summer,,3
23a4740f,13d0b545,Lover,The Man,,4
23a4740f,13d0b545,Lover,You Need to Calm Down,shortened,5
23a4740f,13d0b545,Lover,Lover,spoken intro,6
23a4740f,13d0b545,Lover,The Archer,extended outro,7
23a4740f,13d0b545,Fearless,Fearless,shortened,8
23a4740f,13d0b545,Fearless,You Belong With Me,,9
23a4740f,13d0b545,Fearless,Love Story,,10
23a4740f,13d0b545,evermore,"no body, no crime",,11
23a4740f,13d0b545,evermore,willow,,12
23a4740f,13d0b545,evermore,marjorie,shortened,13
23a4740f,13d0b545,evermore,champagne problems,spoken intro; followed by an eight minute ovation,14
23a4740f,13d0b545,evermore,tolerate it,with pianist Karina,15
23a4740f,13d0b545,reputation,...Ready for It?,,16
23a4740f,13d0b545,reputation,Delicate,,17
23a4740f,13d0b545,reputation,Don't Blame Me,shortened,18
23a4740f,13d0b545,reputation,Look What You Made Me Do,,19
23a4740f,13d0b545,Speak Now,Enchanted,,20
23a4740f,13d0b545,Speak Now,Long Live,,21
23a4740f,13d0b545,Red,Red - Intro,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
23a4740f,13d0b545,Red,22,,23
23a4740f,13d0b545,Red,We Are Never Ever Getting Back Together,,24
23a4740f,13d0b545,Red,I Knew You Were Trouble,shortened,25
23a4740f,13d0b545,Red,All Too Well,"10 minute version, with spoken intro",26
23a4740f,13d0b545,folklore,seven,"spoken word poem; contains elements of ""Wildest Dreams” taped",27
23a4740f,13d0b545,folklore,the 1,,28
23a4740f,13d0b545,folklore,betty,spoken intro,29
23a4740f,13d0b545,folklore,the last great american dynasty,,30
23a4740f,13d0b545,folklore,august,,31
23a4740f,13d0b545,folklore,illicit affairs,shortened,32
23a4740f,13d0b545,folklore,my tears ricochet,,33
23a4740f,13d0b545,folklore,cardigan,,34
23a4740f,13d0b545,1989,Style,shortened,35
23a4740f,13d0b545,1989,Blank Space,,36
23a4740f,13d0b545,1989,Shake It Off,,37
23a4740f,13d0b545,1989,Wildest Dreams,shortened,38
23a4740f,13d0b545,1989,Bad Blood,,39
23a4740f,13d0b545,Surprise Songs,I Know Places,"tour debut; on guitar, last 1989 surprise song before 1989 (taylor's version) was announced.",40
23a4740f,13d0b545,Surprise Songs,King of My Heart,"tour debut, on piano",41
23a4740f,13d0b545,Midnights,Lavender Haze,,42
23a4740f,13d0b545,Midnights,Anti‐Hero,,43
23a4740f,13d0b545,Midnights,Midnight Rain,,44
23a4740f,13d0b545,Midnights,Vigilante Shit,,45
23a4740f,13d0b545,Midnights,Bejeweled,,46
23a4740f,13d0b545,Midnights,Mastermind,,47
23a4740f,13d0b545,Midnights,Karma,extended outro,48
73a4028d,13d0b545,,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Bejeweled elements taped",1
73a4028d,13d0b545,Lover,Miss Americana & the Heartbreak Prince,shortened,2
73a4028d,13d0b545,Lover,Cruel Summer,,3
73a4028d,13d0b545,Lover,The Man,,4
73a4028d,13d0b545,Lover,You Need to Calm Down,shortened,5
73a4028d,13d0b545,Lover,Lover,spoken intro,6
73a4028d,13d0b545,Lover,The Archer,shortened,7
73a4028d,13d0b545,Fearless,Fearless,shortened,8
73a4028d,13d0b545,Fearless,You Belong With Me,,9
73a4028d,13d0b545,Fearless,Love Story,,10
73a4028d,13d0b545,evermore,"no body, no crime",,11
73a4028d,13d0b545,evermore,willow,,12
73a4028d,13d0b545,evermore,marjorie,shortened,13
73a4028d,13d0b545,evermore,champagne problems,spoken intro,14
73a4028d,13d0b545,evermore,tolerate it,,15
73a4028d,13d0b545,reputation,...Ready for It?,,16
73a4028d,13d0b545,reputation,Delicate,,17
73a4028d,13d0b545,reputation,Don't Blame Me,shortened,18
73a4028d,13d0b545,reputation,Look What You Made Me Do,,19
73a4028d,13d0b545,Speak Now,Enchanted,,20
73a4028d,13d0b545,Speak Now,Long Live,,21
73a4028d,13d0b545,Red,Red - Intro,"contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",22
73a4028d,13d0b545,Red,22,,23
73a4028d,13d0b545,Red,We Are Never Ever Getting Back Together,,24
73a4028d,13d0b545,Red,I Knew You Were Trouble,shortened,25
73a4028d,13d0b545,Red,All Too Well,10 minute version; with spoken intro,26
73a4028d,13d0b545,folklore,seven,"spoken word poem; contains elements of ""Wildest Dreams” taped",27
73a4028d,13d0b545,folklore,the 1,,28
73a4028d,13d0b545,folklore,betty,spoken intro,29
73a4028d,13d0b545,folklore,the last great american dynasty,,30
73a4028d,13d0b545,folklore,august,,31
73a4028d,13d0b545,folklore,illicit affairs,shortened,32
73a4028d,13d0b545,folklore,my tears ricochet,,33
73a4028d,13d0b545,folklore,cardigan,,34
73a4028d,13d0b545,1989,Style,,35
73a4028d,13d0b545,1989,Blank Space,,36
73a4028d,13d0b545,1989,Shake It Off,,37
73a4028d,13d0b545,1989,Wildest Dreams,shortened,38
73a4028d,13d0b545,1989,Bad Blood,,39
73a4028d,13d0b545,Surprise Songs,Dress,tour debut; on guitar,40
73a4028d,13d0b545,Surprise Songs,exile,tour debut; on piano,41
73a4028d,13d0b545,Midnights,Lavender Haze,,42
73a4028d,13d0b545,Midnights,Anti‐Hero,,43
73a4028d,13d0b545,Midnights,Midnight Rain,,44
73a4028d,13d0b545,Midnights,Vigilante Shit,,45
73a4028d,13d0b545,Midnights,Bejeweled,,46
73a4028d,13d0b545,Midnights,Mastermind,,47
73a4028d,13d0b545,Midnights,Karma,extended outro,48
1ba415d8,13d0b545,Lover,,"Fearless, End Game, Speak Now, evermore, gold rush, Red, Lavender Haze, Bejeweled elements taped",1
1ba415d8,13d0b545,Lover,Miss Americana & the Heartbreak Prince,shortened,2
1ba415d8,13d0b545,Lover,Cruel Summer,,3
1ba415d8,13d0b545,Lover,The Man,,4
1ba415d8,13d0b545,Lover,You Need to Calm Down,shortened,5
1ba415d8,13d0b545,Lover,Lover,extended intro; Taylor thanked openers GAYLE and HAIM,6
1ba415d8,13d0b545,Lover,The Archer,,7
