,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Speak Now (Taylor's Version),1,7G0gBu6nLdhFDPRLc0HdDG,Mine (Taylor's Version),spotify:track:7G0gBu6nLdhFDPRLc0HdDG,0.00444,0.646,0.783,1.38e-06,0.171,-2.846,0.0356,121.08,0.49,84
1,Speak Now (Taylor's Version),2,3MytWN8L7shNYzGl4tAKRp,Sparks Fly (Taylor’s Version),spotify:track:3MytWN8L7shNYzGl4tAKRp,0.0251,0.588,0.758,0.0,0.131,-2.347,0.0305,114.991,0.387,81
2,Speak Now (Taylor's Version),3,79uDOz0zuuWS7HWxzMmTa2,Back To December (Taylor's Version),spotify:track:79uDOz0zuuWS7HWxzMmTa2,0.00621,0.497,0.635,0.0,0.117,-3.927,0.0273,142.063,0.203,84
3,Speak Now (Taylor's Version),4,5xXqyjLicvEpch72qEryFT,Speak Now (Taylor's Version),spotify:track:5xXqyjLicvEpch72qEryFT,0.248,0.727,0.677,0.0,0.143,-2.871,0.0325,118.995,0.639,80
4,Speak Now (Taylor's Version),5,1zU8j1x3yi9xalMF96pzKp,Dear John (Taylor's Version),spotify:track:1zU8j1x3yi9xalMF96pzKp,0.0236,0.419,0.47,0.0,0.163,-5.016,0.0296,119.294,0.133,80
5,Speak Now (Taylor's Version),6,30Y4CV7A6YqtQtTTo7Ue4j,Mean (Taylor's Version),spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,0.311,0.524,0.692,0.0,0.192,-3.866,0.0369,163.874,0.621,80
6,Speak Now (Taylor's Version),7,6dTA6y0C2ReQklntzZl8l3,The Story Of Us (Taylor's Version),spotify:track:6dTA6y0C2ReQklntzZl8l3,0.00192,0.515,0.781,0.0,0.054,-2.608,0.0535,139.846,0.57,79
7,Speak Now (Taylor's Version),8,2EFZ9emtKWEglWUQGEQ3P9,Never Grow Up (Taylor's Version),spotify:track:2EFZ9emtKWEglWUQGEQ3P9,0.851,0.685,0.323,0.0,0.198,-7.103,0.0289,125.058,0.569,75
8,Speak Now (Taylor's Version),9,3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),spotify:track:3sW3oSbzsfecv9XoUdGs7h,0.012,0.505,0.532,0.0,0.149,-3.526,0.0265,81.907,0.216,87
9,Speak Now (Taylor's Version),10,0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),spotify:track:0NwGC0v03ysCYINtg6ns58,0.000886,0.496,0.885,0.0,0.191,-2.969,0.0803,145.863,0.665,82
