venue_id,name,city,event_date
53d63be5,Foro Sol,Mexico City,27-08-2023
53d63be5,Foro Sol,Mexico City,26-08-2023
53d63be5,Foro Sol,Mexico City,25-08-2023
53d63be5,Foro Sol,Mexico City,24-08-2023
13d0b545,SoFi Stadium,Inglewood,09-08-2023
13d0b545,SoFi Stadium,Inglewood,08-08-2023
13d0b545,SoFi Stadium,Inglewood,07-08-2023
13d0b545,SoFi Stadium,Inglewood,05-08-2023
13d0b545,SoFi Stadium,Inglewood,04-08-2023
13d0b545,SoFi Stadium,Inglewood,03-08-2023
63d4564f,Levi's Stadium,Santa Clara,29-07-2023
63d4564f,Levi's Stadium,Santa Clara,28-07-2023
5bd0d35c,Lumen Field,Seattle,23-07-2023
5bd0d35c,Lumen Field,Seattle,22-07-2023
63d30e6b,Empower Field at Mile High,Denver,15-07-2023
63d30e6b,Empower Field at Mile High,Denver,14-07-2023
23d08027,GEHA Field at Arrowhead Stadium,Kansas City,08-07-2023
23d08027,GEHA Field at Arrowhead Stadium,Kansas City,07-07-2023
4bd07bca,Paycor Stadium,Cincinnati,01-07-2023
4bd07bca,Paycor Stadium,Cincinnati,30-06-2023
43d253af,U.S. Bank Stadium,Minneapolis,24-06-2023
43d253af,U.S. Bank Stadium,Minneapolis,23-06-2023
13d05d01,Acrisure Stadium,Pittsburgh,17-06-2023
13d05d01,Acrisure Stadium,Pittsburgh,16-06-2023
bd6398a,Ford Field,Detroit,10-06-2023
bd6398a,Ford Field,Detroit,09-06-2023
4bd637ce,Soldier Field,Chicago,04-06-2023
4bd637ce,Soldier Field,Chicago,03-06-2023
4bd637ce,Soldier Field,Chicago,02-06-2023
1bd72160,MetLife Stadium,East Rutherford,28-05-2023
1bd72160,MetLife Stadium,East Rutherford,27-05-2023
1bd72160,MetLife Stadium,East Rutherford,26-05-2023
13d6d59d,Gillette Stadium,Foxborough,21-05-2023
13d6d59d,Gillette Stadium,Foxborough,20-05-2023
13d6d59d,Gillette Stadium,Foxborough,19-05-2023
7bd61e04,Lincoln Financial Field,Philadelphia,14-05-2023
7bd61e04,Lincoln Financial Field,Philadelphia,13-05-2023
7bd61e04,Lincoln Financial Field,Philadelphia,12-05-2023
53d5a385,Nissan Stadium,Nashville,07-05-2023
53d5a385,Nissan Stadium,Nashville,06-05-2023
53d5a385,Nissan Stadium,Nashville,05-05-2023
6bd28eea,Mercedes-Benz Stadium,Atlanta,30-04-2023
6bd28eea,Mercedes-Benz Stadium,Atlanta,29-04-2023
6bd28eea,Mercedes-Benz Stadium,Atlanta,28-04-2023
bd451b6,NRG Stadium,Houston,23-04-2023
bd451b6,NRG Stadium,Houston,22-04-2023
bd451b6,NRG Stadium,Houston,21-04-2023
73d616a5,Raymond James Stadium,Tampa,15-04-2023
73d616a5,Raymond James Stadium,Tampa,14-04-2023
73d616a5,Raymond James Stadium,Tampa,13-04-2023
6bd43202,AT&T Stadium,Arlington,02-04-2023
6bd43202,AT&T Stadium,Arlington,01-04-2023
6bd43202,AT&T Stadium,Arlington,31-03-2023
6bd08e7e,Allegiant Stadium,Las Vegas,25-03-2023
6bd08e7e,Allegiant Stadium,Las Vegas,24-03-2023
63d20e8f,State Farm Stadium,Glendale,18-03-2023
63d20e8f,State Farm Stadium,Glendale,17-03-2023
